City_ID,City_ID,Country,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,232,CN,Mujiayingzi,42.1167,118.7833,5.41,78,0,5.21,broken clouds
233,233,CD,Lodja,-3.4833,23.4333,72.97,85,98,2.1,light rain
234,234,BR,Boa Vista,2.8197,-60.6733,93.18,36,40,16.11,broken clouds
235,235,BW,Tsabong,-26.0217,22.401,85.77,41,88,12.8,few clouds
236,236,PT,Vila,42.0304,-8.1588,53.74,56,4,2.86,broken clouds
237,237,MU,Mahebourg,-20.4081,57.7,81.25,94,75,34.52,light rain
238,238,US,Lincoln,40.8,-96.667,17.29,52,0,5.99,scattered clouds
239,239,CL,Lebu,-37.6167,-73.65,65.79,74,35,8.72,scattered clouds
240,240,GL,Qaqortoq,60.7167,-46.0333,7.3,66,2,4.03,clear sky
241,241,LY,Bani Walid,31.7566,13.9942,51.01,65,68,20.33,light rain
242,242,US,Russell,32.3502,-85.1999,65.48,61,75,8.05,light rain
243,243,CN,Jinxiang,27.4327,120.6062,46.89,89,100,9.89,broken clouds
244,244,LK,Kalmunai,7.4167,81.8167,75.79,73,6,5.03,few clouds
245,245,US,Makakilo City,21.3469,-158.0858,71.92,82,0,6.91,light rain
246,246,ZA,Port Elizabeth,-33.918,25.5701,75.09,100,40,18.41,overcast clouds
247,247,CO,Cantagallo,7.376,-73.9196,90.18,46,4,1.68,broken clouds
248,248,CA,Aklavik,68.2191,-135.0107,-25.6,75,20,4.61,light rain
249,249,US,Devils Lake,48.1128,-98.8651,-13.02,77,20,11.99,broken clouds
250,250,SA,Turayf,31.6725,38.6637,53.85,43,0,23.02,few clouds
251,251,,Gobabis,-22.45,18.9667,66.54,77,99,6.58,scattered clouds
252,252,RU,Usinsk,65.9939,57.5281,15.57,96,100,9.26,scattered clouds
253,253,JP,Nishihara,26.1842,127.7558,69.08,94,75,3.44,scattered clouds
254,254,RU,Leshukonskoye,64.8989,45.7622,11.73,98,99,2.8,clear sky
255,255,MX,Acapulco,16.8634,-99.8901,82.22,61,75,5.75,scattered clouds
256,256,RU,Atkarsk,51.8718,45.0078,34.34,98,100,9.82,clear sky
257,257,CN,Shangrao,28.4532,117.9686,34.93,100,100,1.3,scattered clouds
258,258,HN,Paptalaya,15.5,-84.3167,82.44,57,6,6.06,scattered clouds
259,259,RU,Udachnyy,66.4167,112.4,-31.85,100,71,2.73,broken clouds
260,260,RO,Chisindia,46.2833,22.1,32.99,99,100,4.45,scattered clouds
261,261,ES,Nerja,36.7585,-3.8873,75.38,51,0,2.19,light rain
262,262,US,Zachary,30.6485,-91.1565,72.73,91,40,5.75,clear sky
263,263,BR,Urucara,-2.5364,-57.76,81.59,85,81,4.54,overcast clouds
264,264,ML,Taoudenni,22.6783,-3.9836,77.65,11,1,17.29,clear sky
265,265,CF,Bouca,6.5105,18.2733,83.82,17,11,2.64,clear sky
266,266,RU,Chara,56.9064,118.2631,-23.22,84,42,1.21,broken clouds
267,267,US,Astoria,46.1879,-123.8313,41.56,95,100,0.0,scattered clouds
268,268,BR,Porto Walter,-8.2686,-72.7439,92.25,38,84,2.19,scattered clouds
269,269,SJ,Longyearbyen,78.2186,15.6401,19.24,68,20,13.8,broken clouds
270,270,TR,Safranbolu,41.2508,32.6942,40.12,96,100,4.5,scattered clouds
271,271,AU,Katherine,-14.4667,132.2667,77.32,94,98,4.61,light rain
272,272,AR,Villa Maria,-32.4075,-63.2402,96.21,27,93,14.29,few clouds
273,273,CA,Albanel,48.8832,-72.4487,33.94,74,100,12.66,few clouds
274,274,ID,Palembang,-2.9167,104.7458,78.89,89,20,3.44,clear sky
275,275,BR,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,85.8,74,40,3.44,overcast clouds
276,276,RU,Srednekolymsk,67.45,153.6833,-19.3,95,93,3.74,broken clouds
277,277,US,Lompoc,34.6391,-120.4579,60.39,36,0,6.91,overcast clouds
278,278,US,Nantucket,41.2835,-70.0995,45.01,93,100,9.22,broken clouds
279,279,RU,Pevek,69.7008,170.3133,-8.86,79,10,3.94,few clouds
280,280,SO,Hobyo,5.3505,48.5268,77.79,77,19,18.57,broken clouds
281,281,CA,Prince Rupert,54.3161,-130.3201,40.69,93,100,11.5,overcast clouds
282,282,CI,Tabou,4.423,-7.3528,81.95,73,78,9.51,broken clouds
283,283,US,Weston,26.1004,-80.3998,78.82,61,40,4.0,scattered clouds
284,284,RU,Parabel,58.6978,81.4825,12.9,94,92,7.72,overcast clouds
285,285,CA,Clyde River,70.4692,-68.5914,-19.97,69,100,4.61,light rain
286,286,KZ,Ushtobe,45.2514,77.9838,15.3,90,79,5.03,clear sky
287,287,SA,Abha,18.2164,42.5053,60.62,72,0,6.91,scattered clouds
288,288,MN,Hovd,48.0056,91.6419,-6.81,96,91,2.3,light rain
289,289,MR,Nouadhibou,20.931,-17.0347,80.58,36,3,13.8,light rain
290,290,ID,Sungaipenuh,-2.0833,101.3833,64.87,96,96,2.82,few clouds
291,291,MY,Beaufort,5.3473,115.7455,78.96,92,74,3.33,clear sky
292,292,SO,Odweyne,9.4092,45.064,68.77,63,98,14.52,scattered clouds
293,293,RU,Kortkeros,61.8106,51.5806,26.6,93,100,7.52,scattered clouds
294,294,MM,Shwebo,22.5667,95.7,60.48,48,0,5.41,clear sky
295,295,RU,Cherdyn,60.403,56.4787,23.27,94,99,7.81,overcast clouds
296,296,US,Huntsville,34.7304,-86.5861,54.28,84,100,5.01,broken clouds
297,297,MK,Sipkovica,42.035,20.9156,27.36,89,41,6.17,light rain
298,298,BO,Villazon,-22.0866,-65.5942,61.05,45,60,8.5,few clouds
299,299,CL,Coihueco,-36.6167,-71.8333,79.54,34,0,8.05,few clouds
300,300,PK,Jiwani,25.05,61.7417,73.31,43,0,15.08,overcast clouds
301,301,MX,Apaseo El Alto,20.45,-100.6167,69.82,36,0,5.66,overcast clouds
302,302,US,Laguna,38.421,-121.4238,55.09,42,0,8.01,scattered clouds
303,303,GB,Hereford,52.0568,-2.7148,51.4,82,95,5.66,broken clouds
304,304,RU,Chokurdakh,70.6333,147.9167,-18.9,99,65,6.78,scattered clouds
305,305,AU,Moree,-29.4667,149.85,71.62,94,75,9.22,few clouds
306,306,MN,Baruun-Urt,46.6806,113.2792,-10.23,91,46,3.8,broken clouds
307,307,AR,Rawson,-43.3002,-65.1023,79.05,29,99,13.35,overcast clouds
308,308,CN,Jinchang,38.4953,102.1739,20.82,35,38,3.89,broken clouds
309,309,CA,Bonavista,48.6499,-53.1147,30.11,72,61,9.8,overcast clouds
310,310,PS,Gasa,31.5,34.4667,58.17,60,100,7.63,light rain
311,311,LR,Buchanan,5.8808,-10.0467,85.96,70,24,10.8,broken clouds
312,312,BR,Braco Do Norte,-28.275,-49.1656,93.56,50,7,8.84,broken clouds
313,313,CU,Santiago De Cuba,20.0247,-75.8219,84.31,58,40,5.75,scattered clouds
314,314,CO,Palmira,3.5394,-76.3036,84.79,51,40,4.61,clear sky
315,315,PA,Los Algarrobos,8.5,-82.4333,84.61,54,20,4.61,scattered clouds
316,316,PH,Santo Tomas,14.1079,121.1414,77.32,86,96,6.44,few clouds
317,317,RU,Arman,59.7,150.1667,6.01,82,92,10.56,overcast clouds
318,318,BR,Tucurui,-3.7661,-49.6725,85.77,67,74,3.15,clear sky
319,319,MN,Darhan,49.4867,105.9228,-5.53,93,93,4.99,overcast clouds
320,320,RU,Kropotkin,45.4375,40.5756,38.19,86,100,6.06,broken clouds
321,321,NZ,Christchurch,-43.5333,172.6333,79.0,63,100,1.01,scattered clouds
322,322,IN,Tura,25.5198,90.2201,56.25,61,2,4.21,light rain
323,323,FI,Kajaani,64.2273,27.7285,-3.95,84,0,3.44,clear sky
324,324,GA,Mitzic,0.7821,11.549,72.03,85,95,3.96,light rain
325,325,BR,Sao Joao Da Barra,-21.6403,-41.0511,84.29,88,100,4.81,light rain
326,326,AR,Necochea,-38.5473,-58.7368,90.48,37,75,12.66,light rain
327,327,UA,Shostka,51.863,33.4698,25.57,96,100,10.56,clear sky
328,328,PE,Morrope,-6.5417,-80.0111,78.91,47,3,18.86,light rain
329,329,CD,Butembo,0.15,29.2833,63.32,74,99,2.89,broken clouds
