City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,Usinsk,65.9939,57.5281,15.57,96,100,9.26,RU,2022-02-02 17:29:48
253,Nishihara,26.1842,127.7558,69.08,94,75,3.44,JP,2022-02-02 17:29:48
254,Leshukonskoye,64.8989,45.7622,11.73,98,99,2.8,RU,2022-02-02 17:29:49
255,Acapulco,16.8634,-99.8901,82.22,61,75,5.75,MX,2022-02-02 17:27:29
256,Atkarsk,51.8718,45.0078,34.34,98,100,9.82,RU,2022-02-02 17:29:50
257,Shangrao,28.4532,117.9686,34.93,100,100,1.3,CN,2022-02-02 17:29:50
258,Paptalaya,15.5,-84.3167,82.44,57,6,6.06,HN,2022-02-02 17:29:51
259,Udachnyy,66.4167,112.4,-31.85,100,71,2.73,RU,2022-02-02 17:29:51
260,Chisindia,46.2833,22.1,32.99,99,100,4.45,RO,2022-02-02 17:29:52
261,Nerja,36.7585,-3.8873,75.38,51,0,2.19,ES,2022-02-02 17:29:52
262,Zachary,30.6485,-91.1565,72.73,91,40,5.75,US,2022-02-02 17:29:53
263,Urucara,-2.5364,-57.76,81.59,85,81,4.54,BR,2022-02-02 17:29:53
264,Taoudenni,22.6783,-3.9836,77.65,11,1,17.29,ML,2022-02-02 17:29:54
265,Bouca,6.5105,18.2733,83.82,17,11,2.64,CF,2022-02-02 17:29:54
266,Chara,56.9064,118.2631,-23.22,84,42,1.21,RU,2022-02-02 17:29:55
267,Astoria,46.1879,-123.8313,41.56,95,100,0.0,US,2022-02-02 17:26:07
268,Porto Walter,-8.2686,-72.7439,92.25,38,84,2.19,BR,2022-02-02 17:29:56
269,Longyearbyen,78.2186,15.6401,19.24,68,20,13.8,SJ,2022-02-02 17:29:56
270,Safranbolu,41.2508,32.6942,40.12,96,100,4.5,TR,2022-02-02 17:29:57
271,Katherine,-14.4667,132.2667,77.32,94,98,4.61,AU,2022-02-02 17:29:57
272,Villa Maria,-32.4075,-63.2402,96.21,27,93,14.29,AR,2022-02-02 17:29:57
