City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Chisindia,RO,32.99,scattered clouds,46.2833,22.1,Conacul Legendelor
261,Nerja,ES,75.38,light rain,36.7585,-3.8873,Toboso apar-turis
262,Zachary,US,72.73,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
263,Urucara,BR,81.59,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
267,Astoria,US,41.56,scattered clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
268,Porto Walter,BR,92.25,scattered clouds,-8.2686,-72.7439,Secretaria de saúde
269,Longyearbyen,SJ,19.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
270,Safranbolu,TR,40.12,scattered clouds,41.2508,32.6942,GuleviSafranbolu Hotel
271,Katherine,AU,77.32,light rain,-14.4667,132.2667,Pine Tree Motel
272,Villa Maria,AR,96.21,few clouds,-32.4075,-63.2402,Hotel Milenium
273,Albanel,CA,33.94,few clouds,48.8832,-72.4487,Camping municipal d'Albanel
274,Palembang,ID,78.89,clear sky,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
275,Sao Gabriel Da Cachoeira,BR,85.8,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
277,Lompoc,US,60.39,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
278,Nantucket,US,45.01,broken clouds,41.2835,-70.0995,Jared Coffin House
280,Hobyo,SO,77.79,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
281,Prince Rupert,CA,40.69,overcast clouds,54.3161,-130.3201,Crest Hotel
282,Tabou,CI,81.95,broken clouds,4.423,-7.3528,hotêl doufoulougou
283,Weston,US,78.82,scattered clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
284,Parabel,RU,12.9,overcast clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
286,Ushtobe,KZ,15.3,clear sky,45.2514,77.9838,Filipin Squad
